id,chunk,start,end
1687,"clined forward with soles touching a flat surface. placing reflex consists of flexion followed by extension when the dorsum is drawn alongthe under edge of a table fig. 17.31: extensor plant ar babinski response neonatology 201 21persistence of moro reflex beyond 12 weeks of age is pathognomonic of cns pathology. startle response a sudden, sharp blow is given over the cot or table close to the neonates head.",734097,734508
1688," over the cot or table close to the neonates head. a positive response con sists of sudden abduction at shoulders and extension at elbows of the arms as also complete opening ofhands followed by adduction and flexion slow or embrace equivalent. rooting and suckling reflexes stimulation of the lip or angle of the mouth, say witha finger tip or the breast nipple as such, causes the infant seek the stimulus rooting reflex andmovements of the lips and tongue in the direction of the stimulus suckling reflex.",734458,734966
1689," in the direction of the stimulus suckling reflex. suckling reflex can be further evaluated by introducing a finger into theinfants mouth and noting the strength as well as the rhythm of suckling. it is strong and well synchronized with swallowing at 32 weeks. at 28 weeks, it is weakand not synchronized with swallowing. in sick infants too, it is weak. glabellar reflextap it comprises tapping of the glabella or nasion themeeting point of forehead and nose. the neonate reacts by closure of eyes or blinking.",734916,735427
1690,"the neonate reacts by closure of eyes or blinking. grasp reflex it consists in placing the examiners index finger onthe neonates palm. the infant immediately grasps it.the grasp is so firm that he can be lifted off the cot by means of this only. on stroking the dorsum of the hand, he opens the fist, thereby releasing theexaminers finger. a prototype of palmar grasp can be elicited by stroking the plantar surface of toes of the neonate. theinfant responds by flexing the digits plantar grasp.",735377,735872
1691,"fant responds by flexing the digits plantar grasp. the grasp reflex is complete in a term neonate. by 34 weeks it is only partially present. persistence of grasp reflex beyond 12 weeks of age points to brain damage. crossed extension reflex stroking the foot as the leg is held extended at kneecauses flexion, abduction and extension, andadduction together with fanning of the toes of the otherleg. the response stimulates warding off painful stimuli.",735822,736273
1692,"e response stimulates warding off painful stimuli. incomplete and in a random purposeless manner, it is elicited at 32 weeks. at term, it is complete. tonic neck reflex on suddenly turning a supine neonates head to one side, the arm and leg of the same side extend and those of the other side get flexed. persistence of the reflex beyond the age of 6 to 9 months, or maintenance of the tonic neck postureconstantly even at an early age point to existence of cerebral palsy.",736223,736696
1693,"an early age point to existence of cerebral palsy. traction reflex this reflex is elicited by holding the supine neonate atthe wrists and then pulling him up. the infantresponds by flexing the arms and neck. plantar babinski reflex it is elicited by stimulating the lateral aspect of thesole of the foot, beginning at the heal and extending to the base of the toes, with a firm object such as examiners thumb or a handy key.",736646,737070
1694,"irm object such as examiners thumb or a handy key. the positiveresponse is characterized by extension of the great toe and fanning of the other toes. before showing characteristic extensor response, most neonates showan initial flexion of the great toe. asymmetry of the babinski reflex between extre mities is a vital lateralizing sign. chvostek sign this wellknown sign of latent tetany may be present in normal neonates.",737020,737443
1695,"f latent tetany may be present in normal neonates. it is elicited by tapping the area anterior to the external auditory meatus, therebystimulating the facial nerve. the neonate responds by a twitch of the upper lip or the full mouth as a result of contraction of the orbicularis oris. two primitive reflexes not neonatal appearing at 89 months of intrauterine life are: parachute reflex this reflex consists in suddenly lowering the neonate from a short distance in ventral suspension.",737393,737878
1696,"onate from a short distance in ventral suspension. the maneuver is followed by extension of arms, hands andfingers. 202 the short textbook of pediatrics 21landau reflex when the neonate is suspended in prone position with the examiners hand under the abdomen, he responds by extension of head, trunk and hips. on flexing thehead, trunk and hips also show flexion.",737828,738191
1697,"flexing thehead, trunk and hips also show flexion. some minor problems of the newborn that may cause parental anxiety physiologic jaundice this benign condition has already been dealt with under neonatal jaundice in this very chapter. vomiting swallowed amniotic fluid may be responsible for somevomiting on the first day in most normal neonates. itneeds no intervention.",738141,738512
1698," in most normal neonates. itneeds no intervention. in case it persists, stomach wash should be done with normal saline and the infant given only 5 glucose in water in place of the subsequenttwo feeds. aerophagy or erratic feeding may be responsible for regurgitationvomiting. proper burping usuallysolves the problem. transitional stools within 12 to 24 hours, the infant passes darkmeconium. in 2 to 3 days, stools change color to yellowgreen and are loose and frequent.",738462,738933
1699,"e color to yellowgreen and are loose and frequent. these are called transitional stools and are perfectly normalin infants fed on mothers milk. constipation whereas breastfed infants may pass several motions,in bottlefed babies the usual complaint is constipation as a result of hard casein curds. mothers must never be encouraged to give laxatives to such a baby. instead,simple measure such as administration of a juice, glucose water or extrasugar in milk gives gratifying results.",738883,739367
1700,"er or extrasugar in milk gives gratifying results. toxic erythema erythema toxicum in term infants, an erythematous rash like a flea bite may appear on the second day and disappear on its own by fourth day without any treatment. there areno systemic manifestations. the cause is unknown. no bacteria have been cultured from the lesions.milia these are multiple yellowwhite, 1 mm size, cystswhich may be few or numerous. the sites are nose, nasolabial folds, cheeks and forehead.",739317,739795
1701,"s are nose, nasolabial folds, cheeks and forehead. no treatmentis needed since they disappear spontaneously in the first few weeks. mongolian spots these are blueblack macules usually found over thelumbosacral area, buttocks fig. 17.32 and, occasionally, back and shoulders in 70 of the orientalnewborns. the macule may be as big as 10 cm in diameter and even larger. the cause is infiltration of melanocytes in deep layer of dermis.",739745,740178
1702,"filtration of melanocytes in deep layer of dermis. disappearanceoccurs gradually as the infant grows, usually during first few years. traces may persist into adult life. the condition is harmless. fig. 17.32: mongolian spots . note the large blueblack macules. these sports tend to disappear as the infant grows, usually in the first few years.",740128,740472
1703," the infant grows, usually in the first few years. these are harmless neonatology 203 21salmon patches macular hemangioma, nevus simplex, stork bites pinkish capillary hemangiomas may be present over nape, eyelids upper and glabella in 30 to 50 ofnormal newborns. disappearance occurs in the first year though nuchal lesions may persist in onefourth of the adult population.",740422,740796
1704," may persist in onefourth of the adult population. benign neonatal hemangiomatosis bnh multiple capillary hemangiomas, varying frompinhead to 20 mm in diameter, may be present onlyover the skin right at birth or appear somewhat later. they show rapid increase in size till 2 weeks of age. then, they begin to regress spontaneously. by fourthmonth, complete involution occurs. bnh needs to be differentiated from diffuse neonatal hemangiomatosis which also involves theviscera and may bleed profusely.",740746,741246
1705," also involves theviscera and may bleed profusely. harlequin color change when the newborn is placed on his side, a sharpmidline divides the body into a pale upper half and a very red lower half. the cause appears to be temporary imbalance in the autonomic regulatory mechanism ofthe cutaneous vessels. such an episode has no pathologic significance. epstein pearls lateral to the midline of the hard palate may be seenwhitish spots one on each side which are supposedly epithelial inclusion.",741196,741688
1706,ch side which are supposedly epithelial inclusion. these are of no significance. sucking callosities these signify attempts of the baby at sucking duringintrauterine life. these are seen as buttonlike cornified plaque over center of the upper lip. subconjunctival hemorrhage it may manifest as a semilunar area at the outer canthus. total disappearance occurs within a few days time.,741638,742021
1707,"total disappearance occurs within a few days time. physiologic mastitis bilateral swelling of the breasts, which is hormonallyinduced, may occur about the fourth day anddisappear spontaneously by 2 to 3 weeks. notreatment is indicated. the common practice ofmassaging and expressing milk the socalled witchs milk is unfounded and may do harm rather than any good. the condition should, however, be differentiatedfrom the mastitis or breast abscess which may result from infection with staphylococcus or e. coli .",741971,742483
1708,lt from infection with staphylococcus or e. coli . breast abscess is usually unilateral. vaginal bleeding withdrawal of maternal hormonal supply may causeslight vaginal bleeding on third day. it disappears by seventh day and is harmless. natal teeth rarely the newborn may be born with one or two already erupted teeth fig. 17.33. these need not be extracted unless they interfere with breastfeeding orthey are loose. julius caesar had natal teeth.,742433,742881
1709,g orthey are loose. julius caesar had natal teeth. cephalhematoma already dealt with under birth injuries in this verychapter. caput succedaneum already dealt with under birth injuries in this very chapter. figs 17.33: natal teeth. the condition is rare and harmless.,742831,743098
1710,": natal teeth. the condition is rare and harmless. extraction is indicated if teeth are loose or if they interfere with feeding 204 the short textbook of pediatrics 21hiccup hiccough the term refers to sudden, involuntary, jerky diaphra gmatic contractions, causing abrupt inspiratory episodes against a closed or closing glottis. it occursintermittently after feeds in normal infants and is of no significance. if the attacks are prolonged, discomfort, fatigue and malnutrition may develop.",743048,743539
1711," discomfort, fatigue and malnutrition may develop. theremedial measures include tickling the nostril, orbital pressure, carotid sinus pressure, induction of vomiting and therapy with such drugs as chlorpromazine ormetoclopramide. nasolacrimal duct blockade a proportion 2 of the newborn may have persistentwatery discharge and even conjunctivitis usuallyunilateral. it is usually due to simple congenital obstruction of the nasolacrimal duct and clears spontaneously by 1 to 3 months.",743489,743973
1712,"al duct and clears spontaneously by 1 to 3 months. all that is needed isfrequent wash of the eye with a moist sterile swab, and gentle massage of the skin over the tear passage. in the presence of an infection, antimicrobial eyedropsmay be indicated. in case of blockade persisting in later months, surgical correction is necessary after the child has attained the age of 2 years. umbilical hernia fig.",743923,744325
1713,attained the age of 2 years. umbilical hernia fig. 17.34 it is a commonly encountered condition in newborns.the cause is weakness or faulty closure of the umbilicalring. it may be found in otherwise normal infants but may well be a manifestation of cretinism or gargoylism in the presence of some other manifestations of thedisease. two types are recognized. first: false in which hernia occurs into the cord itself. it is persistence ofthe physiologic condition.,744275,744738
1714,"lf. it is persistence ofthe physiologic condition. in the second, i.e., true,protrusion is through the umbilical cicatrix. it occursin 25 to 50 of oriental infants which is 6 to 10 times higher than the incidence in the whites. normally, it has a tendency to reduce in size after 6 months when the infant begins to sit and abdominalmuscles develop, and subside by the age of 18 months spontaneously.",744688,745087
1715,"and subside by the age of 18 months spontaneously. the old practice of strapping it withor without a large coin may actually interfere with its spontaneous regression. unlike paraumbilical or inguinal hernia, it seldom causes strangulation orincarcination. hydrocele noncommunicating hydrocele, more often on the rightside, presenting with a well transilluminated scrotalswelling is quite common in neonates. it usually dis appears spontaneously by 6 months of age.",745037,745502
1716,"ally dis appears spontaneously by 6 months of age. in case of its persistence beyond one year of age, herniotomy isneeded. physiologic phimosis many male newborns may have a prepuce that isadherent to the underlying glans. this is physiologicfinding and disappears in due course. the condition should be considered pathologic only if the difficulty in retracting the prepuce over the glans is persistentbeyond 3 years of age and causes bulging of the foreskin on passing urine.",745452,745929
1717,"d causes bulging of the foreskin on passing urine. mothers need to be advised not to attempt to forcibly retract the socalled nonretractableforeskin. hymenal tags about 60 of normal baby girls show mucosal tags at the margin of the hymen. these are of no particular significance. the preterm infant by definition, the term refers to a baby born before agestation period of 37 weeks. this replaces the old term prematurity .",745879,746302
1718,37 weeks. this replaces the old term prematurity . preterm neonates contribute to a large chunk of low birthweight lbw i.e weighing  2500 g. such ababy measures 46 cm or less in length crownheeland has head circumference of 32 cm or less. the chest circumference is usually less than 30 cm. fig.,746252,746547
1719,"est circumference is usually less than 30 cm. fig. 17.34: umbilical hernia neonatology 205 21  higher frequency of apneic spells, aspiration, bradycardia, neurologic immaturity  anemia of prematurity  hypothermia hypoglycemia  feeding difficulties  functional ileuspredisposing causes  poor nutritional status of the mother  maternal illness like toxemias, antepartum hemorr hage aph, anemia and chronic infections  excessive smoking, drugs overwork, fatigue, mental tension etc  twinning increasing parity  high altitude.",746497,747019
1720,"on etc  twinning increasing parity  high altitude. characteristic features the special features of the preterm infant are shownin figure 17.35 and table 17.6. handicapsrisks the immaturity, both functional and anatomic,predisposes a preterm to, among others, the following handicaps. respiratory distress syndrome. the hyaline mem brane disease occurs exclusively in babies born before term. it is never seen in term infants. neonatal jaundice.",746969,747413
1721," is never seen in term infants. neonatal jaundice. physiologic jaundice is relatively, severer, prolonged and more frequent in these babies  greater susceptibility to infections, e.g. septicemia fig.",747363,747562
1722,"susceptibility to infections, e.g. septicemia fig. 17.35: special features of a preterm baby table 17.6: special feature of preterm neonates  relative head is large  craniotabes present fine fuzzy, scanty hair  large fontanelle and sutures  poor ear cartilage  absent eyebrows but prominent eyes buccal pad of fat is minimal  excessive lanugo hair prsent all over the body  small chest breast nodules very small or absent with small nipple  relatively large abdomen  liver, spleen and kidneys are often palpable umbilical hernia may be present  visible gut peristalsis may be there  undescended tests, lightcoloured scrotal skin with few rugosities are seen  in girl child labia majora does not cover labia minora fig.",747512,748230
1723,hild labia majora does not cover labia minora fig. 17.36  on solesvery few creases are seen  nails are soft  overall poor musculature and less subcutaneous fat 206 the short textbook of pediatrics 21  intraventricular hemorrhage  necrotizing enterocolitis  retrolental fibroplasia retinopathy of prematurity fig.,748180,748492
1724,"lental fibroplasia retinopathy of prematurity fig. 17.37.  hemorrhagic disease of the newborn though until recently believed to be entirely the result of supplemental oxygen, rop is now hypothesized to have light as a significant contributory factor in its development. bright light is supposed to act by producing chemically excited stateand generating free radicals. in short, a preterm baby has several disadvantages that predispose him to risks.",748442,748891
1725,"everal disadvantages that predispose him to risks. the more the immaturity,the poorer are the chances of survival of such a baby. low birth weight lbw infants according to the who, babies with a birth weight of2,500 g or less should be designated as low birth weight lbw babies. the term, very low birth weight, refers to a birth weight between 1,000 g and 1,500 g, andextremely low birth weight to a birth weight less than 1,000 g. the term, micropreemie, is being applied for babies below 5,00 g birth weight.",748841,749352
1726,"eing applied for babies below 5,00 g birth weight. lbw may either be due to prematurity or intrauterine growth retardation iugr. the magnitude of low birth weight infants in developing world is enormous. out of a total of22 million such infants in the world, 21 million belong to the developing countries. indias share is quitesubstantial: 7 to 10 million. lbw constitutes 30 of live births in india. figure 17.38 provides practical classification of newborns by weight and gestational age.fig.",749302,749796
1727,"ion of newborns by weight and gestational age.fig. 17.36: prematurity, showing p apliteal angle of 180 degree. also note that labia minora and clitoris are edematous so that labia majora are widely placed and not covering labia minora fig. 17.37: retinopathy of prematurity rop. an artist s depiction of the condition developing in a premature infantseye as a result of blood vessels growing into the vitreous humou anteriorly fig.",749746,750177
1728,"ls growing into the vitreous humou anteriorly fig. 17.38: practical classification of newborns by weight and gestational age neonatology 207 21classification 1.malnourished the baby appears marasmic, long and thin, skin losing its normal elasticity and hanging in folds over the buttocks. internal organswith the exception of brain are shrunk. head circumference remains nearly normal and is over 3 cm more than the chest circumference.",750127,750563
1729,"nd is over 3 cm more than the chest circumference. ponderalindex is below 2 against the normal of over 2.5. since cell number is not affected, these infants are responsive to nutritional rehabilitation. 2.hypoplastic such a baby is proportionately small in all parameters. since cell population is reduced,growth potential is considerably affected, resultingin permanent retardation of physical and mental growth. incidence of accompanying congenital malformations is high.",750513,750986
1730," of accompanying congenital malformations is high. 3.mixed such a baby neither appears as malnou rished as in type i nor as hypoplastic as in type ii.reduction in cell size as well as number ischaracteristic of this type of iugr. etiology 1.maternal malnutrition food deprivation, parti cularly during the last weeks of pregnancy, more so when the mother is already undernourished weight under 40 kg, height under 145 cm leadsto birth of malnourished infant.",750936,751394
1731,"under 145 cm leadsto birth of malnourished infant. there is evidence that adequate food supplementation in pregnancy considerably reduces the incidence of iugr. 2.intrauterine infections such intrauterine infections as toxoplasmosis, cytomegalovirus disease, rubella,herpes, syphilis, etc. may exert their adverse influence early in embryonic life, causing hypoplastic type of iugr.",751344,751726
1732," embryonic life, causing hypoplastic type of iugr. 3.placental dysfunction such maternal problems as toxemias of pregnancy and hypertension may beresponsible for placental dysfunction and iugr. 4.maternal diseases chronic maternal diseases such as heart disease, tuberculosis, renal disease,bronchial asthma, etc. are likely to cause iugr.",751676,752015
1733,"e,bronchial asthma, etc. are likely to cause iugr. 5.geneticchromosomal disorders certain genetic disorders shortlimbed dwarfism andchromosomal disorders turner syndrome, trisomies exert their adverse influence early duringgestation, reducing both cell number and cell size.the result is hypoplastic iugr with reducedgrowth potentials. 6.twin pregnancy after 35 weeks of gestation, themother is not capable of providing adequatenourishment to more than one fetus.",751965,752428
1734,"viding adequatenourishment to more than one fetus. 7.miscellaneous teenage pregnancy, narcotic addiction, teratogenic agents, tobacco smoking, highaltitude, irradiation, pregnancyoutofwedlock. handicapsrisks 1. aspiration of meconiurn, amniotic fluid or vernix caseosa 2. asphyxia as a result of cerebral anoxia3. fetal hypoxiadeath from placental dysfunction 4. symptomatic hypoglycemia 5. polycythemia from chronic hypoxia6. pulmonary hemorrhage 7. congenital malformations 8. poor temperature regulation9.",752378,752886
1735,"tal malformations 8. poor temperature regulation9. hyperbilirubinemia 10. permanent retardation in linear growth and psychomotor development. management the pediatrician should be prepared to prevent tacklethe riskshandicaps mentioned above. for instance, he should have arrangements for resuscitating an asphyxiated infant, a baby with aspiration, or a babywith congenital malformations. early feeding not only prevents hypoglycemia but also leads to rapid weight gain after 3 to 4 days of age.",752836,753331
1736,"ads to rapid weight gain after 3 to 4 days of age. prognosis iugr infants are easy to feed and show rapid weight gain after age of 3 to 4 days which slows down after age of 6 months. though prognosis is much better than in preterm infants, mortality is 2 to 3 times higher than in normalbabies.",753281,753575
1737,"ality is 2 to 3 times higher than in normalbabies. whereas permanent retardation in physical growth is a feature of hypoplastic babies, the malnourishedinfants, particularly those with hypoglycemia, showhigher incidence of brain damage learning disability, mbd and suboptimal physical growth later in life.",753525,753831
1738," mbd and suboptimal physical growth later in life. prevention 1.female literacy and formal education a wellinformed, educated mother is likely to have better health ponderal index  3weight g  100 length cm 208 the short textbook of pediatrics 21before and during pregnancy, avoid harmful agents and influences during pregnancy and show better reproductive performance and outcome.",753781,754161
1739, show better reproductive performance and outcome. education and training of the traditional birthattendants tbas to ensure adequate care of the mothers during pregnancy and their referral to a nearby health center in case of highrisk pregnancyis also important.,754111,754373
1740,"er in case of highrisk pregnancyis also important. 2.maternal health status adequate nutrition of the female throughout childhood and adolescence is avery effective way of ensuring good health status of pregnant women, provided that the socalled previous nutritional status is maintained bycontinued good nourishment and freedom from medical ailments. 3.antenatal care there is evidence that birth weight is directly proportional to the number of antenatalcheckups.",754323,754788
1741,"y proportional to the number of antenatalcheckups. early detection of highrisk factors such as intrauterine infections, hypertension, toxemiasof pregnancy and early intervention can prevent occurrence of iugr. 4. maternal infections such as malaria uti, torch storch, etc., if prevented or if tackled in time,can considerably reduce the incidence of iugr. feeding feeding of the lbw infants is discussed in chapter 12infant feeding.",754738,755170
1742, infants is discussed in chapter 12infant feeding. stages of newborn care care of the newborn should start much earlier thanthe time of birth. newborn period is not a beginning but a continuation of what has gone before. following important five stages are recognized for improving neonatal outcome in our country.,755120,755434
1743,"zed for improving neonatal outcome in our country. lifecycle approach first stage: care of the girl child particularly in developing countries like indiameasures to improve newborn care should start fromcare of the girl child who is the future mother. her nutrition, immunization and education play a very crucial role in the wellbeing and outcome of herfuture progeny.",755384,755753
1744,"in the wellbeing and outcome of herfuture progeny. second stage: care of the adolescent girls improving her nutritional status including anemiaprevention, adequate immunizations including rubellavaccine wherever possible, life cycle education,improving personal and reproductive hygiene, prevention of early marriages before 18 years of age, early motherhood before 21 years of age, improvinggeneral educational status are crucial for better neonatal outcome in future.",755703,756172
1745,are crucial for better neonatal outcome in future. third stage: care during pregnancy essential minimum antenatal care includes followingmeasures aimed at improving neonatal outcome. a early registration of pregnancyb at least three antenatal check ups c universal prophylaxis against nutritional anemia and tetanus. minimum of 2 injections of tetanus toxoids to be given at one monthly interval as early as possible during pregnancy.,756122,756556
1746,"ly interval as early as possible during pregnancy. the second dose should havebeen given at least one month before the expected date of delivery. d iron folic acid tablets through pregnancy and lactation period. e identification of highrisk pregnancy and early referrals. f promotion of institutional deliveries, which are well equipped and have trained persons.",756506,756868
1747, which are well equipped and have trained persons. highrisk pregnancy is defined as the one in which the mother is suffering from either a preconception adverse factor or an adverse factor become evident during the course of the pregnancy. examples of preconception or primary factors:  poor socioeconomic background  maternal malnutrition with weight under 40 kg. height under 145 cm.,756818,757203
1748,"tion with weight under 40 kg. height under 145 cm. and hemoglobin under 8 g.  maternal age of less than 20 years so called teenage pregnancy or over 35 years  primigravida  multigravida  bad obstetric history with abortions, stillbirth, difficult or operative deliveries, perinatal deaths, lew, congenital malformations  rh negative mother  hypertension, diabetes mellitus, thyrotoxicosis heart disease and other systemic illness.",757153,757583
1749,"oxicosis heart disease and other systemic illness. examples of secondary factors are: maternal infections  multiple pregnancy, especially second of twins  breech presentation, unstable lie and other abnormal presentations neonatology 209 21 cord presentation  pregnancy induced hypertension  toxemias  rh isoimmunization poor fetal growth  aph  hydramnios cephalopelvic disproportion  fetal distress as indicated by exaggerated fetal movement, slow and irregular heart rate and visceral overactivity in the form of passage of meconium  prolonged rupture of membranes prm  early onset of labor  all these highrisk factors during pregnancy and labor are determinates for neonatal problems like birth asphyxia, low birth weight or even still birth and many such dangerous neonatal outcomes.",757533,758320
1750,"l birth and many such dangerous neonatal outcomes. prevention or early detection and management can improve the neonatal outcome in many ways. fourth stage: immediate care at the time of delivery  clean and safe delivery by properly trained birth attendants including doctors, nurses or other category of health workers in a well equipped institution. prompt and systematic resuscitation whenever indicated  adoption of minimum five cleans during every delivery i. clean surface ii. clean hands iii.",758270,758769
1751,ery delivery i. clean surface ii. clean hands iii. clean cord tie iv. clean cord cut v. clean cord  maintenance of warm chain or measures to prevent hypothermia  promotion of early and exclusive breastfeeding preferably within ½ to 1 hour of birth for every normal newborn.,758719,758992
1752,"hin ½ to 1 hour of birth for every normal newborn. fifth stage: routine care of newborn and subsequent fellow up  warm chain  exclusive breastfeeding  measures to prevent neonatal infections management of common problems of neonates early detection of highrisk cases and management safe and suitable referral to special care  intensive care centers  appropriate immunizations regular growth monitoring  developmental assessment and followup, if required.",758942,759396
1753,"evelopmental assessment and followup, if required. health education to mothers proper mother care techniques like feeding, bathing, infection prevention measures, etc. at every stage, local traditional practices involving neonatal health should be studied in detail and thenencourage the useful ones and stop the harmful ones.some of them may be harmless. they may be allowed to continue till community persons realize its futility and stop them on their own.",759346,759805
1754,s realize its futility and stop them on their own. basic principles of essential newborn care 1. to ensure adequate oxygenation through clear airways and proper breathing 2. to prevent hypothermia in the neonates 3. to encourage early and exclusive breastfeeding for healthy neonates or suitable method of providingnutrition to weak and sick babies who cannot feedon breast and get adequate nutrition. 4. suitable measures to prevent neonatal infections.,759755,760209
1755," suitable measures to prevent neonatal infections. 5. early identification of atrisk newborm, offer suitable initial management and stabilization of the baby if possible or arrange for safe transfer tosuitable advanced neonastal care center. for care of every baby, above mentioned principles should be followed and adapted according to the maturity and wellbeing of the baby.",760159,760535
1756,"cording to the maturity and wellbeing of the baby. the 3tier system of neonatal care box 17.7 summarizes salient features of 3tier systemof neonatal care determination of gestational age it is important to differentiate between the pretermand the iugr babies. this has a bearing on management, including that of complications, and theprognosis.",760485,760829
1757,"including that of complications, and theprognosis. since the dates of last menstruation are frequently not forthcoming from the illiterate mothers, 210 the short textbook of pediatrics 21 assessment of gestationnal age may be made on the basis of the physical and neurologic criteria. box 17. 8 presents the physical signs suggesting a gestational age  37 weeks.",760779,761141
1758,"ical signs suggesting a gestational age  37 weeks. box 17.8: physical signs suggesting a gestational age of  37 weeks 1.genitalia male small scrotum with few rugosities testes at external inguinal ring female widely separated labia majora with exposed labia minoraand clitoris 2.breast nodule 5 mm diamer 3.ear cartilage deficient with poor elastic recoil hairwooly fine or fuzzy fluffy danger signs a healthy neonate is warm to touch, has pink palms and soles and feeds well.",761091,761567
1759,"to touch, has pink palms and soles and feeds well. the signs listed in box 17.9point to existence of an illness.",761517,761629
1760,"isted in box 17.9point to existence of an illness. presence of one or more of these signs is an indication for prompt evaluation.box 17.9: danger signs warranting monitoring general poor feeding cold skin hypothermia pyrexiapoor weight gainexcessive weight loss in first week bleeding pulmonary tachypnea  respiratory rate 60minchest retractions apneagrunting gastrointestinal true diarrheapersistent vomiting distention of abdomen failure to pass meconium within 24 hours neurologic seizures genitourinary failure to pass urine by 48 hours skin umbilical sepsis, pyoderma, sclerema neonatal hypothermia etiology the newborn, a preterm infant in particular, is highly susceptible to exposure to low environmental temperature.",761579,762304
1761,"ible to exposure to low environmental temperature. this can happen in situations such as:1. winter months, 2. sudden change in weather conditions, 3. resuscitation procedure, and4. cold snap. clinical features  low body temperature 35 to 30c or even less, cold skin with or without acrocyanosisfromperipheral vasoconstriction , further drop in temperature, say around 25c, may cause sclerema i.e.",762254,762650
1762,"mperature, say around 25c, may cause sclerema i.e. solidification of the subcutaneous tissue with the result that the skin feels hard and fixed to the underlying structures. lethargy, refusal to accept feed and bradycardia with pulse 60min from cns depression.",762600,762860
1763," bradycardia with pulse 60min from cns depression. hypoglycemia, hypoxia and metabolic acidosis from high metabolism  tachypnea and respiratory distress from high pulmonary artery pressurebox 17.7: the 3tier system of neonatal care level 1: this is meant for neonates weighing over 2,000 g or with a gestational age of 37 weeks or more. it is provided at home with guidance from basic health professionals such as a trained birth attendant tba.",762810,763254
1764,"ofessionals such as a trained birth attendant tba. its components are basic careat birth, maintenance of aseptic conditions, promotion of breastfeeding, etc. level 2: this is meant for neonates weighing 1,500 to 2,000 g or with a gestational age of 32 to 36 weeks. it is provided by experts at a district hospital, teaching hospital or a nursing home suitably equipped for intermediate care.",763204,763595
1765,"sing home suitably equipped for intermediate care. its componentsare resuscitation, incubator care, iv infusion, gavage feeding, phototherapy, exchange blood transfusion, etc. level 3: this is meant for neonates weighing less than 1,500 g or with a gestational age of 32 weeks. it is provided by specially trained neonatologists and nurses at neonatal intensive care units nicu with sophisticated facilities suchas centralized oxygen and suction equipment, ventilators, infusion pumps, etc.",763545,764035
1766,"ction equipment, ventilators, infusion pumps, etc. in view of the exorbitant expenditure involved in setting up and maintenance of nicu, this type ofcare should be restricted to apex or regional perinatal centers only. neonatology 211 21 dic may occur, leading to hemorrhagic manifesta tions including massive, pulmonary hemorrhage. septicemia may further complicate the picture.",763985,764364
1767,"ge. septicemia may further complicate the picture. treatment mildmoderate hypothermia 3236o c  immediate rewarming by skintoskin contact on a warm bed room in a warm room; may use radiant warmer, convectionwarmed incubator severe hypothermia body temp  32oc  rewarming the infant using suitable facility air heated incubator, radiant warmer, thermostati callycontrolled heated mattress  slowly giving 10 to 20 ml of 25 glucose intravenously,  maintenance of electrolyte balance,  oxygen, steroid therapy in case of sclerema,  vitamin k in case of bleeding and  exchange transfusion if dic is the likely cause of hemorrhages,  antibiotics.",764314,764952
1768," is the likely cause of hemorrhages,  antibiotics. prognosis mortality is in the range of 25 to 50. survivors show high incidence of brain damage. prevention measures for warming the baby warm chain the term is employed for a set of interlinked procedures aimed at preventing hypothermia inneonates at birth or later 1. warm delivery room 2. warm resuscitatio 3. immediate drying 4. skintoskin contact5. breastfeeding6.",764902,765321
1769,ate drying 4. skintoskin contact5. breastfeeding6. postponement of bathing beyond 24 hours after birth 7. appropriate clothing and bedding 8. nursing of baby and mother together 9. warm transportation 10. training and awareness of healthcare providers. kangaroo mother care kmc it is a very effective method of providing nursing and warmth through skintoskin contact topretermslbw infants in developing countries as a substitute for the expensive incubator fig.,765271,765732
1770,"s as a substitute for the expensive incubator fig. 17.39. benefits  maintainence of infants temperature  promotion of exclusive breastfeeding  promotes extrauterine adaptation builds up mothers confidence  better growth  protection against infection reduction in frequency of apneic spells  better motherinfant bonding. method essentially, the naked baby is placed between mothers breasts for skintoskin contact for many days at astretch. appropriate clothing is employed to hold the baby in position.",765682,766183
1771,"clothing is employed to hold the baby in position. during sleep, she maintains a semi recumbent posture at an angle of 60 degree so that thebaby remains upright. this assists in keeping the baby warm all times. he is made to feed at the breast on demand minimal 2 hourly. in between, when she istake bath or take rest, father of some other amily member may do kangarooing. else, the baby may be wrapped in a woolen clothing.",766133,766557
1772,"lse, the baby may be wrapped in a woolen clothing. kmc should becontinued even after the discharge from the hospital until the baby has reached 2 kg weight. fig. 17.39 : kangaroo mother care kmc: note that the baby is held upright against the mother s skin and between the breasts and covered with mothers clothes plus an additional shawlblanket.",766507,766853
1773,"h mothers clothes plus an additional shawlblanket. a belt around mothers waist may assist inkeeping the baby in position prerequisites the neonates should have no medical problem or should have received initial stabilization 212 the short textbook of pediatrics 21the neonate should be able to breastfeed, at least partially the mother should be healthy and cooperative.",766803,767173
1774,"ally the mother should be healthy and cooperative. incubator care a modern incubator, available in most specialized nur series, is an excellent device to maintain temperature and humidity according to babys requirements. the recommended nursery temperature is around 30c.",767123,767394
1775,"the recommended nursery temperature is around 30c. the incubator temperature should be such as will maintain the axillary temperature of the baby between35 to 37c as clarified in table 17.7. a low reading rectal thermometer, graduated for 20 to 40 range, is a must for accurate recording ofthe babys temperature.",767344,767656
